,date,kospi,open,high,low,volume,kospi_cr
100,2020-05-29,2029.6,2018.37,2038.89,2006.62,1.09B,+0.05%
101,2020-06-01,2065.08,2037.04,2065.38,2035.63,997.35M,+1.75%
102,2020-06-02,2087.19,2061.45,2089.43,2059.14,1.00B,+1.07%
103,2020-06-03,2147.0,2108.55,2156.55,2107.69,1.15B,+2.87%
104,2020-06-04,2151.18,2181.64,2191.0,2139.68,1.39B,+0.19%
105,2020-06-05,2181.87,2151.17,2187.25,2138.18,854.59M,+1.43%
106,2020-06-08,2184.29,2215.6,2217.21,2174.96,854.04M,+0.11%
107,2020-06-09,2188.92,2206.23,2212.17,2166.01,817.08M,+0.21%
108,2020-06-10,2195.69,2187.91,2200.68,2178.12,706.29M,+0.31%
109,2020-06-11,2176.78,2184.36,2200.72,2148.51,827.38M,-0.86%
110,2020-06-12,2132.3,2088.24,2137.12,2084.63,689.90M,-2.04%
111,2020-06-15,2030.82,2114.41,2129.67,2030.82,1.07B,-4.76%
112,2020-06-16,2138.05,2091.09,2138.08,2079.02,973.64M,+5.28%
113,2020-06-17,2141.05,2133.18,2154.37,2105.26,927.52M,+0.14%
114,2020-06-18,2133.48,2134.35,2145.13,2120.29,767.18M,-0.35%
115,2020-06-19,2141.32,2153.09,2153.57,2108.91,1.08B,+0.37%
116,2020-06-22,2126.73,2126.38,2142.88,2122.1,789.37M,-0.68%
117,2020-06-23,2131.24,2149.13,2158.15,2110.51,917.57M,+0.21%
118,2020-06-24,2161.51,2145.93,2171.86,2143.91,913.90M,+1.42%
119,2020-06-25,2112.37,2130.45,2143.33,2112.37,1.02B,-2.27%
120,2020-06-26,2134.65,2137.47,2142.04,2115.25,761.04M,+1.05%
121,2020-06-29,2093.48,2105.54,2120.5,2087.84,643.16M,-1.93%
122,2020-06-30,2108.33,2124.38,2134.38,2108.26,708.60M,+0.71%
123,2020-07-01,2106.7,2128.81,2133.55,2101.33,1.12B,-0.08%
124,2020-07-02,2135.37,2116.72,2135.37,2113.98,1.09B,+1.36%
125,2020-07-03,2152.41,2147.89,2153.54,2135.3,770.05M,+0.80%
126,2020-07-06,2187.93,2158.95,2191.28,2157.71,666.90M,+1.65%
127,2020-07-07,2164.17,2202.04,2206.79,2164.03,847.43M,-1.09%
128,2020-07-08,2158.88,2166.76,2173.83,2150.89,677.81M,-0.24%
129,2020-07-09,2167.9,2171.15,2181.48,2166.74,619.37M,+0.42%
130,2020-07-10,2150.25,2171.44,2171.52,2140.29,886.99M,-0.81%
131,2020-07-13,2186.06,2170.51,2188.8,2163.07,650.23M,+1.67%
132,2020-07-14,2183.61,2176.43,2183.61,2165.6,810.95M,-0.11%
133,2020-07-15,2201.88,2208.73,2216.97,2190.66,830.27M,+0.84%
134,2020-07-16,2183.76,2203.3,2207.34,2177.82,784.64M,-0.82%
135,2020-07-17,2201.19,2187.85,2204.2,2187.85,569.30M,+0.80%
136,2020-07-20,2198.2,2209.59,2209.59,2183.83,686.82M,-0.14%
137,2020-07-21,2228.83,2219.19,2234.86,2214.28,918.48M,+1.39%
138,2020-07-22,2228.66,2228.2,2238.86,2221.62,856.22M,-0.01%
139,2020-07-23,2216.19,2227.24,2227.24,2202.99,934.54M,-0.56%
140,2020-07-24,2200.44,2196.73,2219.57,2195.49,1.00B,-0.71%
141,2020-07-27,2217.86,2203.48,2231.25,2203.48,928.62M,+0.79%
142,2020-07-28,2256.99,2238.19,2266.0,2237.21,866.72M,+1.76%
143,2020-07-29,2263.16,2258.35,2276.79,2252.24,899.49M,+0.27%
144,2020-07-30,2267.01,2275.33,2281.33,2263.81,713.04M,+0.17%
145,2020-07-31,2249.37,2278.53,2281.41,2248.49,739.69M,-0.78%
146,2020-08-03,2251.04,2251.65,2254.38,2237.04,648.46M,+0.07%
147,2020-08-04,2279.97,2272.33,2284.66,2269.69,722.91M,+1.29%
148,2020-08-05,2311.86,2289.23,2312.14,2283.95,841.30M,+1.40%
149,2020-08-06,2342.61,2322.64,2352.48,2322.64,797.15M,+1.33%
150,2020-08-07,2351.67,2349.25,2362.24,2333.62,812.59M,+0.39%
151,2020-08-10,2386.38,2353.92,2390.51,2349.33,784.62M,+1.48%
152,2020-08-11,2418.67,2396.11,2429.36,2396.11,843.44M,+1.35%
153,2020-08-12,2432.35,2414.78,2432.35,2393.27,763.73M,+0.57%
154,2020-08-13,2437.53,2455.28,2458.17,2412.49,907.22M,+0.21%
155,2020-08-14,2407.49,2427.85,2435.0,2383.69,968.12M,-1.23%
156,2020-08-18,2348.24,2405.84,2419.65,2336.78,909.75M,-2.46%
157,2020-08-19,2360.54,2370.87,2380.1,2353.17,637.96M,+0.52%
158,2020-08-20,2274.22,2339.91,2357.08,2270.85,903.74M,-3.66%
159,2020-08-21,2304.59,2306.16,2329.34,2280.97,865.73M,+1.34%
160,2020-08-24,2329.83,2309.38,2332.33,2283.48,649.28M,+1.10%
161,2020-08-25,2366.73,2352.15,2369.78,2340.97,771.58M,+1.58%
162,2020-08-26,2369.32,2367.74,2374.68,2336.98,956.48M,+0.11%
163,2020-08-27,2344.45,2371.95,2373.36,2344.38,913.92M,-1.05%
164,2020-08-28,2353.8,2362.22,2379.26,2345.28,1.30B,+0.40%
165,2020-08-31,2326.17,2377.09,2381.5,2326.06,1.65B,-1.17%
166,2020-09-01,2349.55,2340.19,2355.9,2331.23,1.09B,+1.01%
167,2020-09-02,2364.37,2363.43,2369.57,2341.29,1.43B,+0.63%
168,2020-09-03,2395.9,2383.26,2401.78,2382.23,981.55M,+1.33%
169,2020-09-04,2368.25,2332.68,2371.02,2332.68,1.35B,-1.15%
170,2020-09-07,2384.22,2369.85,2387.49,2362.42,1.20B,+0.67%
171,2020-09-08,2401.91,2402.66,2407.56,2391.43,979.36M,+0.74%
172,2020-09-09,2375.81,2372.53,2388.85,2369.12,946.25M,-1.09%
173,2020-09-10,2396.48,2404.83,2406.68,2388.56,1.06B,+0.87%
174,2020-09-11,2396.69,2389.76,2397.56,2374.0,882.88M,+0.01%
175,2020-09-14,2427.91,2418.33,2429.07,2410.79,963.08M,+1.30%
176,2020-09-15,2443.58,2434.59,2444.57,2423.79,849.97M,+0.65%
177,2020-09-16,2435.92,2442.72,2450.53,2429.94,772.94M,-0.31%
178,2020-09-17,2406.17,2430.77,2437.02,2398.69,853.74M,-1.22%
179,2020-09-18,2412.4,2413.53,2417.81,2396.33,756.52M,+0.26%
180,2020-09-21,2389.39,2412.44,2427.17,2379.38,1.04B,-0.95%
181,2020-09-22,2332.59,2388.14,2388.49,2323.58,1.05B,-2.38%
182,2020-09-23,2333.24,2352.56,2354.46,2287.44,735.04M,+0.03%
183,2020-09-24,2272.7,2295.62,2309.74,2268.88,714.88M,-2.59%
184,2020-09-25,2278.79,2295.19,2296.36,2267.63,697.96M,+0.27%
185,2020-09-28,2308.08,2301.16,2314.81,2291.32,605.98M,+1.29%
186,2020-09-29,2327.89,2331.51,2339.83,2320.04,646.22M,+0.86%
187,2020-10-05,2358.0,2330.55,2364.73,2327.83,763.62M,+1.29%
188,2020-10-06,2365.9,2369.17,2378.28,2355.39,861.75M,+0.34%
189,2020-10-07,2386.94,2350.82,2387.45,2347.82,737.99M,+0.89%
190,2020-10-08,2391.96,2408.49,2409.01,2383.82,961.73M,+0.21%
191,2020-10-12,2403.73,2404.18,2409.42,2393.74,843.57M,+0.49%
192,2020-10-13,2403.15,2416.85,2418.89,2385.87,724.92M,-0.02%
193,2020-10-14,2380.48,2403.74,2405.56,2375.54,901.18M,-0.94%
194,2020-10-15,2361.21,2375.91,2376.73,2348.74,1.17B,-0.81%
195,2020-10-16,2341.53,2363.88,2370.73,2325.03,920.20M,-0.83%
196,2020-10-19,2346.74,2352.92,2364.25,2344.77,931.64M,+0.22%
197,2020-10-20,2358.41,2333.56,2358.41,2322.06,874.29M,+0.50%
198,2020-10-21,2370.86,2363.03,2371.74,2356.32,812.84M,+0.53%
199,2020-10-22,2355.05,2355.61,2360.22,2339.73,815.61M,-0.67%
200,2020-10-23,2360.81,2364.84,2368.57,2344.49,890.38M,+0.24%
201,2020-10-26,2343.91,2366.5,2374.5,2342.58,822.27M,-0.72%
202,2020-10-27,2330.84,2328.66,2349.33,2321.23,666.94M,-0.56%
203,2020-10-28,2345.26,2324.18,2345.46,2316.47,705.77M,+0.62%
204,2020-10-29,2326.67,2312.34,2330.17,2299.91,509.77M,-0.79%
205,2020-10-30,2267.15,2319.56,2320.2,2266.93,795.59M,-2.56%
206,2020-11-02,2300.16,2276.61,2302.64,2267.95,678.50M,+1.46%
207,2020-11-03,2343.31,2315.81,2344.77,2315.3,887.44M,+1.88%
208,2020-11-04,2357.32,2361.32,2371.14,2339.95,986.79M,+0.60%
209,2020-11-05,2413.79,2373.41,2413.79,2370.85,702.04M,+2.40%
210,2020-11-06,2416.5,2421.79,2431.11,2404.97,825.57M,+0.11%
211,2020-11-09,2447.2,2438.63,2459.15,2434.52,1.35B,+1.27%
212,2020-11-10,2452.83,2453.95,2457.94,2435.59,1.46B,+0.23%
213,2020-11-11,2485.87,2459.5,2488.04,2459.5,1.27B,+1.35%
214,2020-11-12,2475.62,2482.68,2488.79,2467.04,1.28B,-0.41%
215,2020-11-13,2493.87,2470.12,2495.77,2460.96,1.07B,+0.74%
216,2020-11-16,2543.03,2507.46,2546.37,2507.46,1.24B,+1.97%
217,2020-11-17,2539.15,2544.12,2556.09,2533.34,1.27B,-0.15%
218,2020-11-18,2545.64,2548.85,2553.95,2536.78,923.50M,+0.26%
219,2020-11-19,2547.42,2536.89,2548.95,2529.53,976.48M,+0.07%
220,2020-11-20,2553.5,2544.06,2558.21,2539.79,1.13B,+0.24%
221,2020-11-23,2602.59,2560.04,2605.58,2553.7,1.65B,+1.92%
222,2020-11-24,2617.76,2616.28,2628.52,2605.03,1.36B,+0.58%
223,2020-11-25,2601.54,2637.34,2642.26,2583.41,1.41B,-0.62%
224,2020-11-26,2625.91,2605.73,2625.97,2592.43,1.39B,+0.94%
225,2020-11-27,2633.45,2624.8,2635.0,2618.47,1.20B,+0.29%
226,2020-11-30,2591.34,2648.05,2648.66,2591.34,1.31B,-1.60%
227,2020-12-01,2634.25,2613.42,2638.87,2611.67,1.15B,+1.66%
228,2020-12-02,2675.9,2645.88,2677.26,2644.53,1.08B,+1.58%
229,2020-12-03,2696.22,2686.38,2696.22,2672.85,817.07M,+0.76%
230,2020-12-04,2731.45,2705.34,2742.77,2705.34,1.78B,+1.31%
231,2020-12-07,2745.44,2738.11,2754.01,2711.42,1.50B,+0.51%
232,2020-12-08,2700.93,2745.13,2747.45,2700.92,1.42B,-1.62%
233,2020-12-09,2755.47,2703.3,2755.47,2703.3,1.25B,+2.02%
234,2020-12-10,2746.46,2750.34,2765.46,2718.7,1.23B,-0.33%
235,2020-12-11,2770.06,2754.16,2781.04,2754.16,1.22B,+0.86%
236,2020-12-14,2762.2,2769.43,2782.79,2755.29,1.11B,-0.28%
237,2020-12-15,2756.82,2763.65,2769.37,2735.08,1.09B,-0.19%
238,2020-12-16,2771.79,2763.64,2781.08,2761.5,1.17B,+0.54%
239,2020-12-17,2770.43,2769.89,2772.71,2742.25,1.02B,-0.05%
240,2020-12-18,2772.18,2770.95,2782.15,2762.8,1.06B,+0.06%
241,2020-12-21,2778.65,2771.98,2780.24,2747.09,1.14B,+0.23%
242,2020-12-22,2733.68,2772.03,2774.22,2733.64,1.26B,-1.62%
243,2020-12-23,2759.82,2737.74,2769.08,2716.28,1.12B,+0.96%
244,2020-12-24,2806.86,2762.6,2812.16,2762.6,1.03B,+1.70%
245,2020-12-28,2808.6,2820.95,2834.59,2799.56,1.01B,+0.06%
246,2020-12-29,2820.51,2810.55,2823.44,2792.06,1.05B,+0.42%
247,2020-12-30,2873.47,2820.36,2878.21,2809.35,1.07B,+1.88%
248,2021-01-04,2944.45,2874.5,2946.54,2869.11,1.03B,+2.47%
249,2021-01-05,2990.57,2943.67,2990.57,2921.84,1.52B,+1.57%
250,2021-01-06,2968.21,2993.34,3027.16,2961.37,1.79B,-0.75%
251,2021-01-07,3031.68,2980.75,3055.28,2980.75,1.52B,+2.14%
252,2021-01-08,3152.18,3040.11,3161.11,3040.11,1.30B,+3.97%
253,2021-01-11,3148.45,3161.9,3266.23,3096.19,1.71B,-0.12%
254,2021-01-12,3125.95,3145.87,3154.79,3047.56,1.39B,-0.71%
255,2021-01-13,3148.29,3128.26,3164.37,3109.63,1.58B,+0.71%
256,2021-01-14,3149.93,3148.65,3159.03,3128.72,1.23B,+0.05%
257,2021-01-15,3085.9,3153.84,3189.9,3085.9,1.33B,-2.03%
258,2021-01-18,3013.93,3079.9,3079.9,3003.89,1.47B,-2.33%
259,2021-01-19,3092.66,3013.05,3107.0,3011.32,1.35B,+2.61%
260,2021-01-20,3114.55,3115.04,3145.01,3077.15,1.19B,+0.71%
261,2021-01-21,3160.84,3123.27,3163.21,3123.27,1.36B,+1.49%
262,2021-01-22,3140.63,3163.83,3185.26,3140.6,1.11B,-0.64%
263,2021-01-25,3208.99,3144.01,3212.22,3142.8,1.09B,+2.18%
264,2021-01-26,3140.31,3203.96,3209.18,3132.67,873.02M,-2.14%
265,2021-01-27,3122.56,3143.46,3182.53,3118.89,924.58M,-0.57%
266,2021-01-28,3069.05,3114.98,3114.98,3046.64,1.31B,-1.71%
267,2021-01-29,2976.21,3078.73,3100.22,2962.7,995.07M,-3.03%
268,2021-02-01,3056.53,2976.81,3056.87,2947.24,969.26M,+2.70%
269,2021-02-02,3096.81,3065.56,3138.95,3065.56,887.31M,+1.32%
270,2021-02-03,3129.68,3108.42,3142.26,3091.85,901.79M,+1.06%
271,2021-02-04,3087.55,3135.02,3135.02,3068.46,1.46B,-1.35%
272,2021-02-05,3120.63,3098.49,3124.62,3081.78,1.19B,+1.07%
273,2021-02-08,3091.24,3113.63,3128.54,3085.59,1.28B,-0.94%
274,2021-02-09,3084.67,3102.25,3129.66,3084.67,2.15B,-0.21%
275,2021-02-10,3100.58,3088.13,3111.88,3064.25,2.15B,+0.52%
276,2021-02-15,3147.0,3108.7,3156.56,3108.7,1.60B,+1.50%
277,2021-02-16,3163.25,3151.85,3180.94,3145.84,1.94B,+0.52%
278,2021-02-17,3133.73,3162.95,3162.95,3115.48,1.78B,-0.93%
279,2021-02-18,3086.66,3131.74,3140.4,3086.66,1.86B,-1.50%
280,2021-02-19,3107.62,3089.96,3109.67,3040.28,3.46B,+0.68%
281,2021-02-22,3079.75,3114.03,3142.48,3079.16,1.83B,-0.90%
282,2021-02-23,3070.09,3069.26,3094.29,3035.46,2.36B,-0.31%
283,2021-02-24,2994.98,3070.58,3092.05,2993.46,1.56B,-2.45%
284,2021-02-25,3099.69,3026.47,3099.8,3026.47,1.28B,+3.50%
285,2021-02-26,3012.95,3089.49,3089.49,2988.28,1.36B,-2.80%
286,2021-03-02,3043.87,3021.68,3096.5,3020.74,1.75B,+1.03%
287,2021-03-03,3082.99,3041.2,3083.04,3029.37,2.24B,+1.29%
288,2021-03-04,3043.49,3076.88,3076.88,3022.54,1.28B,-1.28%
289,2021-03-05,3026.26,3036.16,3036.98,2982.45,1.19B,-0.57%
290,2021-03-08,2996.11,3031.99,3055.65,2992.64,1.93B,-1.00%
291,2021-03-09,2976.12,2989.96,3000.49,2929.36,1.53B,-0.67%
292,2021-03-10,2958.12,2980.76,3013.95,2951.53,905.65M,-0.60%
293,2021-03-11,3013.7,2964.3,3028.37,2964.3,1.35B,+1.88%
294,2021-03-12,3054.39,3030.73,3061.43,3030.73,1.67B,+1.35%
295,2021-03-15,3045.71,3057.06,3065.17,3036.14,1.16B,-0.28%
296,2021-03-16,3067.17,3049.23,3071.54,3049.23,1.12B,+0.70%
297,2021-03-17,3047.5,3067.76,3069.57,3027.2,814.99M,-0.64%
298,2021-03-18,3066.01,3054.93,3090.19,3054.93,1.23B,+0.61%
299,2021-03-19,3039.53,3063.01,3063.01,3022.49,1.07B,-0.86%
300,2021-03-22,3035.46,3040.01,3048.11,3019.6,915.74M,-0.13%
301,2021-03-23,3004.74,3038.25,3058.79,3003.05,1.33B,-1.01%
302,2021-03-24,2996.35,2996.32,3006.54,2971.04,978.43M,-0.28%
303,2021-03-25,3008.33,2995.67,3024.63,2987.83,940.35M,+0.40%
304,2021-03-26,3041.01,3012.79,3041.86,3012.79,1.04B,+1.09%
305,2021-03-29,3036.04,3047.71,3054.21,3025.39,1.29B,-0.16%
306,2021-03-30,3070.0,3038.44,3074.57,3038.44,1.02B,+1.12%
307,2021-03-31,3061.42,3073.39,3093.89,3061.4,1.15B,-0.28%
308,2021-04-01,3087.4,3073.77,3090.88,3069.68,922.68M,+0.85%
309,2021-04-02,3112.8,3104.72,3121.58,3101.6,792.70M,+0.82%
310,2021-04-05,3120.83,3121.23,3127.2,3101.86,1.08B,+0.26%
311,2021-04-06,3127.08,3123.8,3139.29,3110.19,1.28B,+0.20%
312,2021-04-07,3137.41,3129.07,3146.19,3125.33,1.98B,+0.33%
313,2021-04-08,3143.26,3137.25,3145.81,3122.09,1.36B,+0.19%
314,2021-04-09,3131.88,3146.51,3156.04,3125.24,1.82B,-0.36%
315,2021-04-12,3135.59,3134.88,3147.27,3127.91,1.05B,+0.12%
316,2021-04-13,3169.08,3138.21,3173.26,3136.99,1.74B,+1.07%
317,2021-04-14,3182.38,3169.95,3188.32,3162.12,1.78B,+0.42%
318,2021-04-15,3194.33,3180.73,3204.48,3178.99,1.31B,+0.38%
319,2021-04-16,3198.62,3194.08,3206.76,3185.67,985.28M,+0.13%
320,2021-04-19,3198.84,3201.11,3214.45,3193.4,1.06B,+0.01%
321,2021-04-20,3220.7,3198.31,3220.82,3195.96,1.30B,+0.68%
322,2021-04-21,3171.66,3214.24,3214.24,3165.49,1.77B,-1.52%
323,2021-04-22,3177.52,3174.52,3196.97,3174.52,1.75B,+0.18%
324,2021-04-23,3186.1,3173.47,3188.7,3146.54,2.25B,+0.27%
325,2021-04-26,3217.53,3191.34,3217.53,3191.34,1.30B,+0.99%
326,2021-04-27,3215.42,3218.3,3223.05,3203.25,1.53B,-0.07%
327,2021-04-28,3181.47,3217.21,3219.69,3176.55,1.41B,-1.06%
328,2021-04-29,3174.07,3184.75,3200.41,3161.06,1.22B,-0.23%
329,2021-04-30,3147.86,3176.43,3179.43,3143.38,1.36B,-0.83%
330,2021-05-03,3127.2,3149.05,3174.26,3120.7,1.04B,-0.66%
331,2021-05-04,3147.37,3131.39,3147.38,3109.78,1.28B,+0.64%
332,2021-05-06,3178.74,3147.72,3178.74,3133.64,1.24B,+1.00%
333,2021-05-07,3197.2,3179.63,3205.11,3179.63,989.68M,+0.58%
334,2021-05-10,3249.3,3201.46,3255.9,3201.46,1.01B,+1.63%
335,2021-05-11,3209.43,3239.92,3239.92,3192.25,1.10B,-1.23%
336,2021-05-12,3161.66,3209.36,3212.83,3138.04,1.42B,-1.49%
337,2021-05-13,3122.11,3146.97,3161.93,3103.88,1.10B,-1.25%
338,2021-05-14,3153.32,3131.35,3162.31,3131.35,836.40M,+1.00%
339,2021-05-17,3134.52,3163.21,3173.01,3121.32,771.31M,-0.60%
340,2021-05-18,3173.05,3135.38,3176.4,3135.38,786.14M,+1.23%
341,2021-05-20,3162.28,3174.53,3174.53,3140.48,774.25M,-0.34%
342,2021-05-21,3156.42,3171.91,3198.01,3149.46,797.26M,-0.19%
343,2021-05-24,3144.3,3155.91,3163.27,3137.81,587.97M,-0.38%
344,2021-05-25,3171.32,3152.93,3173.1,3148.3,612.98M,+0.86%
345,2021-05-26,3168.43,3171.91,3183.97,3160.3,1.27B,-0.09%
346,2021-05-27,3165.51,3170.84,3173.86,3142.37,1.08B,-0.09%
347,2021-05-28,3188.73,3172.09,3198.66,3171.85,966.37M,+0.73%
